@lat	@lon	addr:postcode	name	amenity
37.7813758	-122.4215607	94102	Opera Plaza Cinema	cinema
37.7844640	-122.4037068	94103	AMC Loews Metreon 16	cinema
37.0072824	-121.5686958		The District Theater	cinema
37.9018679	-122.3029319		Cerrito Theatre	cinema
34.0464645	-118.4479940	90025	Nuart Theatre	cinema
34.1090062	-118.1936572	90042	Highland Theatre	cinema
38.2922663	-122.4564770	95476	Sebastiani Theatre	cinema
37.2880242	-121.9339400	95008	Pruneyard Cinema	cinema
36.9747866	-122.0265060	95060	Santa Cruz Cinema	cinema
36.9725385	-122.0275924	95060	Nickelodeon	cinema
36.9724617	-122.0254840	95060	Del Mar Theater	cinema
37.2886024	-121.9899770		AMC Saratoga 14	cinema
37.7850975	-122.4325871	94115	AMC Dine-In Kabuki 8	cinema
34.0318961	-118.4952950		Aero Theatre	cinema
32.8649226	-117.2320884		AMC Theatres La Jolla 12	cinema
33.9780463	-118.3919080	90045	CINEMARK 18 & XD	cinema
33.6884323	-117.8961397	92626	Edwards Metro Pointe Stadium 12	cinema
37.0484407	-122.0271816		CineLux Scotts Valley Cinemas	cinema
37.4861964	-122.2289372	94063	Redwood Downtown 20 and XD	cinema
38.5424110	-121.7400910		Regal Holiday 6	cinema
33.2448770	-117.2936300		Regal Cinemas	cinema
34.1449720	-118.1433769	91101	Regal Paseo	cinema
34.1460921	-118.1296780	91106	Regency Academy Cinemas	cinema
34.1460311	-118.1364723	91101	Landmark Theaters Pasadena	cinema
33.0462692	-117.2936965		La Paloma	cinema
34.0627411	-118.4468559		Bruin Theater	cinema
34.2810494	-119.2921787	93001	Century Theatres	cinema
36.7156308	-121.6606910		Century 14 Northridge Mall	cinema
34.8941644	-117.0034364		Barstow Station Cinema 6	cinema
34.9134137	-116.9825636		Skyline Drive-In	cinema
34.9135633	-116.9842052		Screen 1	cinema
34.9149269	-116.9840110		Screen 2	cinema
34.0962090	-118.1267188	91801	Regal Edwards Alhambra Renaissance	cinema
38.6416237	-121.1914141		Folsom Century 14	cinema
34.1827887	-118.8791255		Regency	cinema
38.9622620	-119.9417431		Hard Rock Stadium Cinemas	cinema
38.9555795	-119.9424512		Heavenly Village Cinemas	cinema
35.6497767	-117.6717139	93555	Ridgecrest Cinema	cinema
34.0360531	-118.6851121		Malibu Cinemas	cinema
34.1043591	-118.2916172	90027	Los Feliz 3	cinema
33.1040466	-117.2688323	92009	Cinepolis	cinema
32.5345400	-116.9508717		Cinepolis	cinema
32.5267886	-117.0181200		Cinepolis Plaza Rio	cinema
35.6510801	-121.1856740		National Geographic Theater	cinema
36.1042011	-115.1715226		United Artists Showcase Theater 8	cinema
